# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,
health_check,FRONTEND,,,0,0,2000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,0,,,,,,,,,,,0,0,0,,,0,0,0,0,,,,,,,,
health_check,BACKEND,0,0,0,0,200,0,0,0,0,0,,0,0,0,0,UP,0,0,0,,0,3535,0,,1,2,0,,0,,1,0,,0,,,,,,,,,,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
stats,FRONTEND,,,1,1,2000,3,248,18450,0,0,0,,,,,OPEN,,,,,,,,,1,3,0,,,,0,1,0,1,,,,0,2,0,0,0,0,,1,1,3,,,0,0,0,0,,,,,,,,
stats,BACKEND,0,0,0,0,200,0,248,18450,0,0,,0,0,0,0,UP,0,0,0,,0,3535,0,,1,3,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,0,0,0,1,
fe_production_web_http,FRONTEND,,,2,131,2000,625019,110750297,683543658,0,0,3246,,,,,OPEN,,,,,,,,,1,4,0,,,,0,217,0,303,,,,0,588374,1009,35591,35,8,,218,301,625017,,,0,0,0,0,,,,,,,,
fe_production_web_https,FRONTEND,,,57,113,2000,70569,33023201,205904649,0,0,1310,,,,,OPEN,,,,,,,,,1,5,0,,,,0,23,0,94,,,,0,44590,5606,20340,25,3,,22,99,70564,,,0,0,0,0,,,,,,,,
be_production_web,web1,0,0,0,64,,309614,53495396,335807600,,0,,0,4,170,79,UP,1,1,0,2,0,3535,0,,1,6,1,,309444,,2,105,,152,L7OK,200,5,0,293110,343,15908,0,0,0,,,,1,4,,,,,0,OK,,0,2,1,22,
be_production_web,web2,0,0,0,64,,310427,53473761,342306643,,0,,0,4,3,0,UP,1,1,0,0,0,3535,0,,1,6,2,,310424,,2,106,,209,L7OK,200,1,0,293846,397,16177,0,0,0,,,,1,4,,,,,0,OK,,0,2,1,23,
be_production_web,BACKEND,0,0,0,128,200,619789,106969157,678114243,0,0,,0,8,173,79,UP,2,2,1,,0,3535,0,,1,6,0,,619868,,1,211,,299,,,,0,586956,740,32085,0,8,,,,,2,8,0,0,0,0,0,,,0,2,1,26,
be_production_web_https,web1,0,0,0,13,,17012,11533840,82747437,,0,,0,7,98,47,UP,1,1,0,2,0,3535,0,,1,7,1,,16914,,2,6,,32,L7OK,200,1,30,13502,2976,378,4,0,0,,,,5,2,,,,,0,OK,,0,1,21,244,
be_production_web_https,web2,0,0,0,13,,15491,10611583,88831558,,0,,0,10,0,0,UP,1,1,0,0,0,3535,0,,1,7,2,,15491,,2,5,,61,L7OK,200,5,36,12544,2630,303,4,0,0,,,,10,0,,,,,1,OK,,0,1,22,227,
be_production_web_https,BACKEND,0,0,0,26,200,32358,22145423,171578995,0,0,,0,17,98,47,UP,2,2,1,,0,3535,0,,1,7,0,,32405,,1,12,,86,,,,0,26046,5606,681,23,2,,,,,15,2,0,0,0,0,0,,,0,1,24,231,
